report_date,publisher_platform,platform_position,impressions,checked_on
2026-09-05,facebook,feed,18185,2026-09-06
2026-09-05,instagram,feed,7203,2026-09-06
2026-09-05,facebook,facebook_stories,611,2026-09-06
2026-09-05,instagram,instagram_stories,4691,2026-09-06
2026-09-05,unknown,unknown,44,2026-09-06
